Nutrient group,Variable,Value,Commodity
Fiber (g) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,1.39,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,0.93,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,1.20,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,1.62,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population,Away from home-Restaurant-2015–16,1.04,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,0.63,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,1.21,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,1.01,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,0.79,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,0.92,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,1.33,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population,Away from home-Restaurant-2015–16,2.50,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,1.54,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,2.91,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,2.43,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,1.89,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,2.19,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,3.23,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population,Away from home-Restaurant-2015–16,8.06,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,4.88,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,9.41,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,7.80,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,6.04,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,7.13,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,10.41,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population,Away from home-Restaurant-2015–16,373.66,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,212.75,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,443.32,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,354.47,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,288.21,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,324.62,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,477.30,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population,Away from home-Fast food-2015–16,330.94,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Children age 2–19,Away from home-Fast food-2015–16,291.52,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,396.53,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,144.65,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,292.65,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,315.88,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,374.38,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population,Away from home-Fast food-2015–16,132.56,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Children age 2–19,Away from home-Fast food-2015–16,121.70,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,157.16,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,56.79,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,112.99,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,127.12,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,153.78,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population,Away from home-Fast food-2015–16,45.13,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Children age 2–19,Away from home-Fast food-2015–16,33.53,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,56.49,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,20.01,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,38.15,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,44.83,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,51.98,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population,Away from home-Fast food-2015–16,2.18,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Children age 2–19,Away from home-Fast food-2015–16,1.80,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,2.66,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,0.94,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,1.89,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,2.19,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,2.44,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population,Away from home-Fast food-2015–16,1.92,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Children age 2–19,Away from home-Fast food-2015–16,1.71,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,2.29,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,0.86,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,1.71,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,1.81,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,2.17,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population,Away from home-Fast food-2015–16,4.89,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Children age 2–19,Away from home-Fast food-2015–16,4.39,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,5.82,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,2.15,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,4.31,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,4.71,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,5.53,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population,Away from home-Fast food-2015–16,14.79,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Children age 2–19,Away from home-Fast food-2015–16,12.66,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,17.80,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,6.75,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,13.07,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,13.98,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,16.81,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population,Away from home-Fast food-2015–16,613.25,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Children age 2–19,Away from home-Fast food-2015–16,534.23,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,738.23,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,264.15,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,547.93,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,575.94,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,692.40,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population,Away from home-School-2015–16,34.62,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Children age 2–19,Away from home-School-2015–16,144.01,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Adults age 20–64,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Seniors age 65 and above,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income < 185% poverty line,Away from home-School-2015–16,51.88,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income 185–300% poverty line,Away from home-School-2015–16,34.39,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income > 300% poverty line,Away from home-School-2015–16,18.06,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population,Away from home-School-2015–16,27.36,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Children age 2–19,Away from home-School-2015–16,113.81,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Adults age 20–64,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Seniors age 65 and above,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income < 185% poverty line,Away from home-School-2015–16,41.58,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income 185–300% poverty line,Away from home-School-2015–16,29.73,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income > 300% poverty line,Away from home-School-2015–16,12.62,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population,Away from home-School-2015–16,3.73,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Children age 2–19,Away from home-School-2015–16,15.50,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Adults age 20–64,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Seniors age 65 and above,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income < 185% poverty line,Away from home-School-2015–16,5.76,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income 185–300% poverty line,Away from home-School-2015–16,3.75,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income > 300% poverty line,Away from home-School-2015–16,1.76,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population,Away from home-School-2015–16,0.31,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Children age 2–19,Away from home-School-2015–16,1.29,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Adults age 20–64,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Seniors age 65 and above,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income < 185% poverty line,Away from home-School-2015–16,0.46,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income 185–300% poverty line,Away from home-School-2015–16,0.33,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income > 300% poverty line,Away from home-School-2015–16,0.16,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population,Away from home-School-2015–16,0.25,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Children age 2–19,Away from home-School-2015–16,1.05,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Adults age 20–64,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Seniors age 65 and above,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income < 185% poverty line,Away from home-School-2015–16,0.37,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income 185–300% poverty line,Away from home-School-2015–16,0.25,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income > 300% poverty line,Away from home-School-2015–16,0.13,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population,Away from home-School-2015–16,0.45,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Children age 2–19,Away from home-School-2015–16,1.86,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Adults age 20–64,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Seniors age 65 and above,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income < 185% poverty line,Away from home-School-2015–16,0.68,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income 185–300% poverty line,Away from home-School-2015–16,0.46,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income > 300% poverty line,Away from home-School-2015–16,0.21,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population,Away from home-School-2015–16,1.23,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Children age 2–19,Away from home-School-2015–16,5.10,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Adults age 20–64,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Seniors age 65 and above,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income < 185% poverty line,Away from home-School-2015–16,1.86,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income 185–300% poverty line,Away from home-School-2015–16,1.23,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population - Household income > 300% poverty line,Away from home-School-2015–16,0.62,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population,Away from home-School-2015–16,54.94,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Children age 2–19,Away from home-School-2015–16,228.55,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Adults age 20–64,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Seniors age 65 and above,Away from home-School-2015–16,,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income < 185% poverty line,Away from home-School-2015–16,81.83,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income 185–300% poverty line,Away from home-School-2015–16,54.88,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Sodium (mg) - Total population - Household income > 300% poverty line,Away from home-School-2015–16,29.03,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population,Away from home-Other-2015–16,134.47,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Children age 2–19,Away from home-Other-2015–16,140.91,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Adults age 20–64,Away from home-Other-2015–16,137.40,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Seniors age 65 and above,Away from home-Other-2015–16,113.85,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income < 185% poverty line,Away from home-Other-2015–16,139.99,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income 185–300% poverty line,Away from home-Other-2015–16,145.18,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Energy (calories) - Total population - Household income > 300% poverty line,Away from home-Other-2015–16,124.50,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population,Away from home-Other-2015–16,70.79,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Children age 2–19,Away from home-Other-2015–16,56.72,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Adults age 20–64,Away from home-Other-2015–16,77.99,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Seniors age 65 and above,Away from home-Other-2015–16,64.95,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income < 185% poverty line,Away from home-Other-2015–16,66.03,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income 185–300% poverty line,Away from home-Other-2015–16,75.10,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Calcium (mg) - Total population - Household income > 300% poverty line,Away from home-Other-2015–16,73.51,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population,Away from home-Other-2015–16,16.21,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Children age 2–19,Away from home-Other-2015–16,14.09,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Adults age 20–64,Away from home-Other-2015–16,17.43,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Seniors age 65 and above,Away from home-Other-2015–16,14.82,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income < 185% poverty line,Away from home-Other-2015–16,17.31,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income 185–300% poverty line,Away from home-Other-2015–16,19.40,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Cholesterol (mg) - Total population - Household income > 300% poverty line,Away from home-Other-2015–16,13.76,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population,Away from home-Other-2015–16,0.94,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Children age 2–19,Away from home-Other-2015–16,0.91,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Adults age 20–64,Away from home-Other-2015–16,0.98,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Seniors age 65 and above,Away from home-Other-2015–16,0.85,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income < 185% poverty line,Away from home-Other-2015–16,1.03,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income 185–300% poverty line,Away from home-Other-2015–16,0.98,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Fiber (g) - Total population - Household income > 300% poverty line,Away from home-Other-2015–16,0.85,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population,Away from home-Other-2015–16,0.80,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Children age 2–19,Away from home-Other-2015–16,0.80,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Adults age 20–64,Away from home-Other-2015–16,0.82,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Seniors age 65 and above,Away from home-Other-2015–16,0.73,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income < 185% poverty line,Away from home-Other-2015–16,0.85,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income 185–300% poverty line,Away from home-Other-2015–16,0.93,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Iron (mg) - Total population - Household income > 300% poverty line,Away from home-Other-2015–16,0.70,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population,Away from home-Other-2015–16,1.81,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Children age 2–19,Away from home-Other-2015–16,1.98,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Adults age 20–64,Away from home-Other-2015–16,1.80,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Seniors age 65 and above,Away from home-Other-2015–16,1.58,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income < 185% poverty line,Away from home-Other-2015–16,1.83,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income 185–300% poverty line,Away from home-Other-2015–16,1.95,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g) - Total population - Household income > 300% poverty line,Away from home-Other-2015–16,1.73,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g) - Total population,Away from home-Other-2015–16,5.40,"Nutrient intake by food source and demographic characteristics, 2015–16 and 2017–18 "
