Nutrient group,Variable,Value,Commodity
Saturated fat (g/1000kcal) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,13.27,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,13.54,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,14.19,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,13.5,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,13.7,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,13.63,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population,Away from home-Restaurant-2015–16,44.14,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,42.03,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,44.08,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,46.55,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,43.21,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,46.46,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,43.96,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population",Away from home-Restaurant-2015–16,2135.56,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Restaurant-2015–16,1941.05,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Restaurant-2015–16,2191.33,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Restaurant-2015–16,2106.89,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Restaurant-2015–16,2111.72,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Restaurant-2015–16,2129.38,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Restaurant-2015–16,2152.26,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population",Away from home-Fast food-2015–16,436.85,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Fast food-2015–16,413.64,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Fast food-2015–16,445.17,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Fast food-2015–16,435.86,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Fast food-2015–16,382.34,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Fast food-2015–16,466.9,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Fast food-2015–16,466.56,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population",Away from home-Fast food-2015–16,131.17,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Fast food-2015–16,109.75,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Fast food-2015–16,138.52,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Fast food-2015–16,132.64,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Fast food-2015–16,127.87,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Fast food-2015–16,142.65,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Fast food-2015–16,129.55,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population",Away from home-Fast food-2015–16,6.37,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Children age 2–19",Away from home-Fast food-2015–16,6.1,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Adults age 20–64",Away from home-Fast food-2015–16,6.5,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Fast food-2015–16,6.14,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Fast food-2015–16,6.3,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Fast food-2015–16,6.62,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Fast food-2015–16,6.33,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population",Away from home-Fast food-2015–16,5.82,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Fast food-2015–16,5.52,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Fast food-2015–16,5.81,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Fast food-2015–16,6.67,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Fast food-2015–16,5.55,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Fast food-2015–16,6.11,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Fast food-2015–16,5.91,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population,Away from home-Fast food-2015–16,14.44,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Children age 2–19,Away from home-Fast food-2015–16,14.45,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,14.46,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,14.29,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,14.25,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,14.76,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,14.47,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population,Away from home-Fast food-2015–16,42.55,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Children age 2–19,Away from home-Fast food-2015–16,41.83,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,42.64,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,43.74,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,42.8,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,42.94,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,42.22,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population",Away from home-Fast food-2015–16,1766.68,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Fast food-2015–16,1731.36,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Fast food-2015–16,1777.41,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Fast food-2015–16,1779.23,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Fast food-2015–16,1772.96,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Fast food-2015–16,1747.75,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Fast food-2015–16,1768.74,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population",Away from home-School-2015–16,784.72,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Children age 2–19",Away from home-School-2015–16,784.72,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-School-2015–16,,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-School-2015–16,,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-School-2015–16,804.58,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-School-2015–16,917.55,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-School-2015–16,657.66,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population",Away from home-School-2015–16,99.1,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Children age 2–19",Away from home-School-2015–16,99.1,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-School-2015–16,,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-School-2015–16,,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-School-2015–16,108.32,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-School-2015–16,96.54,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-School-2015–16,84.42,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population",Away from home-School-2015–16,9.61,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Children age 2–19",Away from home-School-2015–16,9.61,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Adults age 20–64",Away from home-School-2015–16,,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Seniors age 65 and above",Away from home-School-2015–16,,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-School-2015–16,9.92,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-School-2015–16,9.68,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-School-2015–16,8.99,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population",Away from home-School-2015–16,6.97,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Children age 2–19",Away from home-School-2015–16,6.97,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-School-2015–16,,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-School-2015–16,,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-School-2015–16,6.98,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-School-2015–16,7.05,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-School-2015–16,6.9,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population,Away from home-School-2015–16,12.08,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Children age 2–19,Away from home-School-2015–16,12.08,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Adults age 20–64,Away from home-School-2015–16,,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Seniors age 65 and above,Away from home-School-2015–16,,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income < 185% poverty line,Away from home-School-2015–16,12.63,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Away from home-School-2015–16,12.75,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income > 300% poverty line,Away from home-School-2015–16,10.64,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population,Away from home-School-2015–16,33.08,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Children age 2–19,Away from home-School-2015–16,33.08,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Adults age 20–64,Away from home-School-2015–16,,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Seniors age 65 and above,Away from home-School-2015–16,,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income < 185% poverty line,Away from home-School-2015–16,33.92,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Away from home-School-2015–16,33.41,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income > 300% poverty line,Away from home-School-2015–16,31.35,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population",Away from home-School-2015–16,1543.16,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Children age 2–19",Away from home-School-2015–16,1543.16,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-School-2015–16,,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-School-2015–16,,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-School-2015–16,1581.41,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-School-2015–16,1551.16,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-School-2015–16,1469.42,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population",Away from home-Other-2015–16,767.69,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Other-2015–16,316.3,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Other-2015–16,1004.32,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Other-2015–16,463.59,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Other-2015–16,424.26,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Other-2015–16,384.47,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Other-2015–16,1254.16,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population",Away from home-Other-2015–16,86.86,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Other-2015–16,73.53,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Other-2015–16,87.21,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Other-2015–16,106.23,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Other-2015–16,92.32,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Other-2015–16,108.11,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Cholesterol (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Other-2015–16,72.67,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population",Away from home-Other-2015–16,7.18,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Children age 2–19",Away from home-Other-2015–16,6.91,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Adults age 20–64",Away from home-Other-2015–16,7.05,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Other-2015–16,8.18,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Other-2015–16,8.37,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Other-2015–16,6.58,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Fiber (g/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Other-2015–16,6.32,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population",Away from home-Other-2015–16,6.41,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Other-2015–16,5.5,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Other-2015–16,6.45,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Other-2015–16,7.65,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Other-2015–16,6.28,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Other-2015–16,6.2,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Iron (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Other-2015–16,6.62,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population,Away from home-Other-2015–16,12.14,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Children age 2–19,Away from home-Other-2015–16,11.8,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Adults age 20–64,Away from home-Other-2015–16,12.03,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Seniors age 65 and above,Away from home-Other-2015–16,13.16,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income < 185% poverty line,Away from home-Other-2015–16,11.49,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Away from home-Other-2015–16,12.7,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Saturated fat (g/1000kcal) - Total population - Household income > 300% poverty line,Away from home-Other-2015–16,12.52,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population,Away from home-Other-2015–16,34.91,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Children age 2–19,Away from home-Other-2015–16,32.36,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Adults age 20–64,Away from home-Other-2015–16,34.74,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Seniors age 65 and above,Away from home-Other-2015–16,39.62,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income < 185% poverty line,Away from home-Other-2015–16,32.63,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income 185–300% poverty line,Away from home-Other-2015–16,35.21,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
Total fat (g/1000kcal) - Total population - Household income > 300% poverty line,Away from home-Other-2015–16,36.92,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population",Away from home-Other-2015–16,2273.15,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Children age 2–19",Away from home-Other-2015–16,1411.83,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Adults age 20–64",Away from home-Other-2015–16,2660.34,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Seniors age 65 and above",Away from home-Other-2015–16,1967.78,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Away from home-Other-2015–16,1852.48,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income 185–300% poverty line",Away from home-Other-2015–16,1836.2,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Sodium (mg/1,000 calories) - Total population - Household income > 300% poverty line",Away from home-Other-2015–16,2855.23,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population",Total - 2017–18,487.67,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Children age 2–19",Total - 2017–18,526.17,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Adults age 20–64",Total - 2017–18,482.3,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Seniors age 65 and above",Total - 2017–18,450.15,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
"Calcium (mg/1,000 calories) - Total population - Household income < 185% poverty line",Total - 2017–18,479.82,"Nutrient density by food source and demographic characteristics, 2015–16 and 2017–18 "
