Food group,Variable,Value,Commodity
Vegetables: red and orange without tomatoes (cup) - Total population,Away from home-Total-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Children age 2–19,Away from home-Total-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Adults age 20–64,Away from home-Total-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population,Away from home-Total-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Children age 2–19,Away from home-Total-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Adults age 20–64,Away from home-Total-2015–16,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,0.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population,Away from home-Total-2015–16,2.29,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Children age 2–19,Away from home-Total-2015–16,2.51,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Adults age 20–64,Away from home-Total-2015–16,2.44,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,1.38,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,2.16,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,2.15,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,2.47,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population,Away from home-Total-2015–16,2.14,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Children age 2–19,Away from home-Total-2015–16,2.3,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Adults age 20–64,Away from home-Total-2015–16,2.29,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,1.3,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,2.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,1.98,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,2.31,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population,Away from home-Total-2015–16,0.15,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Children age 2–19,Away from home-Total-2015–16,0.21,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Adults age 20–64,Away from home-Total-2015–16,0.15,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,0.14,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,0.17,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,0.16,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population,Away from home-Total-2015–16,2,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Children age 2–19,Away from home-Total-2015–16,1.63,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Adults age 20–64,Away from home-Total-2015–16,2.32,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Seniors age 65 and above,Away from home-Total-2015–16,1.36,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income < 185% poverty line,Away from home-Total-2015–16,1.78,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income 185–300% poverty line,Away from home-Total-2015–16,1.83,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income > 300% poverty line,Away from home-Total-2015–16,2.29,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population,Away from home-Restaurant-2015–16,0.94,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,0.8,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,1,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,0.92,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,0.73,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,1.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,1.09,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population,Away from home-Restaurant-2015–16,2.95,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,1.96,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,3.42,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,2.68,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,2.25,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,2.45,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,3.84,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population,Away from home-Restaurant-2015–16,3.24,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,1.75,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,3.81,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,3.31,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,2.37,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,3.09,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,4.14,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population,Away from home-Restaurant-2015–16,0.09,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,0.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,0.11,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,0.07,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,0.08,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,0.12,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population,Away from home-Restaurant-2015–16,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population,Away from home-Restaurant-2015–16,0.16,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,0.06,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,0.19,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,0.19,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,0.11,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,0.15,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: total (cup) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,0.21,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population,Away from home-Restaurant-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: potatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population,Away from home-Restaurant-2015–16,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: tomatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population,Away from home-Restaurant-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,0,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: red and orange without tomatoes (cup) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population,Away from home-Restaurant-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,0,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Vegetables: dark green (cup) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population,Away from home-Restaurant-2015–16,0.57,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,0.41,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,0.65,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,0.52,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,0.42,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,0.48,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: total (oz) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,0.75,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population,Away from home-Restaurant-2015–16,0.54,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,0.4,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,0.6,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,0.49,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,0.4,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,0.46,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: refined (oz) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,0.7,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population,Away from home-Restaurant-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,0.02,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Grains: whole (oz) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,0.05,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population,Away from home-Restaurant-2015–16,0.68,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Children age 2–19,Away from home-Restaurant-2015–16,0.39,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Adults age 20–64,Away from home-Restaurant-2015–16,0.82,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Seniors age 65 and above,Away from home-Restaurant-2015–16,0.59,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income < 185% poverty line,Away from home-Restaurant-2015–16,0.54,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income 185–300% poverty line,Away from home-Restaurant-2015–16,0.58,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Protein foods (oz) - Total population - Household income > 300% poverty line,Away from home-Restaurant-2015–16,0.86,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population,Away from home-Fast food-2015–16,2.26,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Children age 2–19,Away from home-Fast food-2015–16,2.25,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,2.65,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,0.83,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,1.97,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,2.38,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Added sugar (tsp) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,2.48,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population,Away from home-Fast food-2015–16,5.87,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Children age 2–19,Away from home-Fast food-2015–16,5.28,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,6.96,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,2.69,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,5.11,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,5.78,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary fats (g) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,6.65,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population,Away from home-Fast food-2015–16,5.61,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Children age 2–19,Away from home-Fast food-2015–16,4.69,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,6.8,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,2.52,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,4.98,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,5.09,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Discretionary oils (g) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,6.44,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population,Away from home-Fast food-2015–16,0.25,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Children age 2–19,Away from home-Fast food-2015–16,0.26,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,0.29,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,0.09,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,0.22,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,0.24,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Dairy (cup) - Total population - Household income > 300% poverty line,Away from home-Fast food-2015–16,0.28,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population,Away from home-Fast food-2015–16,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Children age 2–19,Away from home-Fast food-2015–16,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Adults age 20–64,Away from home-Fast food-2015–16,0.04,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Seniors age 65 and above,Away from home-Fast food-2015–16,0.01,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income < 185% poverty line,Away from home-Fast food-2015–16,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
Fruit (cup) - Total population - Household income 185–300% poverty line,Away from home-Fast food-2015–16,0.03,"Average daily intake of food group by food source and demographic characteristics, 2015–16 and 2017–18"
